STIs,TempRels,VerSupp,HorSupp
"[1, 13]",['b'],0.06707317073170732,4.181818181818182
"[1, 13, 999]","['b', 'b', 'b']",0.06707317073170732,3.8181818181818183
"[1, 13]",['c'],0.12195121951219512,2.45
"[1, 13, 6]","['c', 'c', 'b']",0.06707317073170732,8.454545454545455
"[1, 13, 6, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.06707317073170732,8.454545454545455
"[1, 13, 999]","['c', 'b', 'b']",0.12195121951219512,2.45
"[1, 15]",['b'],0.08536585365853659,3.142857142857143
"[1, 15, 6]","['b', 'b', 'b']",0.054878048780487805,5.888888888888889
"[1, 15, 6, 999]","['b', 'b', 'b', 'b', 'b', 'b']",0.054878048780487805,5.888888888888889
"[1, 15, 999]","['b', 'b', 'b']",0.08536585365853659,3.0714285714285716
"[1, 15]",['c'],0.15853658536585366,2.076923076923077
"[1, 15, 6]","['c', 'c', 'b']",0.07317073170731707,5.916666666666667
"[1, 15, 6, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.07317073170731707,5.916666666666667
"[1, 15, 999]","['c', 'b', 'b']",0.15853658536585366,2.076923076923077
"[1, 16]",['c'],0.11585365853658537,2.789473684210526
"[1, 16, 6]","['c', 'c', 'b']",0.0975609756097561,7.125
"[1, 16, 6, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.0975609756097561,7.125
"[1, 16, 15]","['c', 'c', 'b']",0.07317073170731707,4.0
"[1, 16, 15, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.07317073170731707,4.0
"[1, 16, 999]","['c', 'b', 'b']",0.11585365853658537,2.789473684210526
"[1, 17]",['b'],0.06707317073170732,2.4545454545454546
"[1, 17, 999]","['b', 'b', 'b']",0.054878048780487805,2.7777777777777777
"[1, 17]",['c'],0.12195121951219512,2.05
"[1, 17, 6]","['c', 'c', 'b']",0.07926829268292683,4.153846153846154
"[1, 17, 6, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.07926829268292683,4.153846153846154
"[1, 17, 999]","['c', 'b', 'b']",0.12195121951219512,2.05
"[1, 18]",['c'],0.07317073170731707,1.9166666666666667
"[1, 18, 6]","['c', 'c', 'b']",0.06097560975609756,3.2
"[1, 18, 6, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.06097560975609756,3.2
"[1, 18, 999]","['c', 'b', 'b']",0.07317073170731707,1.9166666666666667
"[1, 19]",['b'],0.06707317073170732,1.3636363636363635
"[1, 19, 999]","['b', 'b', 'b']",0.06707317073170732,1.3636363636363635
"[1, 20]",['b'],0.07926829268292683,1.1538461538461537
"[1, 20, 999]","['b', 'b', 'b']",0.07926829268292683,1.1538461538461537
"[1, 20]",['f'],0.06097560975609756,1.0
"[1, 20, 999]","['f', 'b', 'b']",0.06097560975609756,1.0
"[1, 20]",['c'],0.07317073170731707,1.0
"[1, 20, 999]","['c', 'b', 'b']",0.07317073170731707,1.0
"[1, 21]",['b'],0.06707317073170732,1.1818181818181819
"[1, 21, 999]","['b', 'b', 'b']",0.06707317073170732,1.1818181818181819
"[1, 21]",['f'],0.0975609756097561,1.0
"[1, 21, 999]","['f', 'b', 'b']",0.0975609756097561,1.0
"[1, 21]",['c'],0.054878048780487805,1.1111111111111112
"[1, 21, 999]","['c', 'b', 'b']",0.054878048780487805,1.1111111111111112
"[1, 22]",['b'],0.06707317073170732,1.4545454545454546
